,video_id,title,views,likes,comments,play_list_name
0,4fndeDfaWCg,Backstreet Boys - I Want It That Way (Official HD Video),1336647072,7235206,278978,Late 90s Early 2000s Pop Hits Playlist
1,ZyhrYis509A,Aqua - Barbie Girl (Official Music Video),1399470842,8432123,416291,Late 90s Early 2000s Pop Hits Playlist
2,nZXRV4MezEw,Cher - Believe (Official Music Video) [4K Remaster],347636133,2016250,52748,Late 90s Early 2000s Pop Hits Playlist
3,YPwtJ89jes4,Kylie Minogue - Can't Get You Out Of My Head (HD),21396701,220303,8062,Late 90s Early 2000s Pop Hits Playlist
4,NdYWuo9OFAw,Goo Goo Dolls – Iris [Official Music Video] [4K Remaster],491971496,2948375,69698,Late 90s Early 2000s Pop Hits Playlist
5,Lzib4Q6x2XA,Definition Of | 559 | 432Hz,335225,502,30,Late 90s Early 2000s Pop Hits Playlist
6,mzJj5-lubeM,Red Hot Chili Peppers - Scar Tissue [Official Music Video],493768924,2107382,38405,Late 90s Early 2000s Pop Hits Playlist
7,C-u5WLJ9Yk4,Britney Spears - ...Baby One More Time (Official Video),894170254,5109892,186245,Late 90s Early 2000s Pop Hits Playlist
8,hI3SOjHvI7Q,Paul Damixie x SERE  - You Got Me Like | Official Music Video,2399235,2293,27,Late 90s Early 2000s Pop Hits Playlist
9,0Gl2QnHNpkA,Backstreet Boys - As Long As You Love Me (Official HD Video),515995274,2286900,66711,Late 90s Early 2000s Pop Hits Playlist
10,5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video),650735589,4395265,150852,Late 90s Early 2000s Pop Hits Playlist
11,z-iS0bCdIj8,Lovers In Action | Sonic Resistance | 432Hz,12668,100,18,Late 90s Early 2000s Pop Hits Playlist
12,7wfYIMyS_dI,Enya - Only Time (Official 4K Music Video),257234715,2254030,99749,Late 90s Early 2000s Pop Hits Playlist
13,9bFHsd3o1w0,Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),13715188,197070,7279,Late 90s Early 2000s Pop Hits Playlist
14,6M6samPEMpM,Backstreet Boys - Everybody (Backstreet's Back) (Official HD Video),496766228,3085913,84113,Late 90s Early 2000s Pop Hits Playlist
15,weRHyjj34ZE,"Shakira - Whenever, Wherever (Official HD Video)",751866719,3399122,119292,Late 90s Early 2000s Pop Hits Playlist
16,nPLV7lGbmT4,Santana - Maria Maria (Official Video) ft. The Product G&B,546126683,2662959,54848,Late 90s Early 2000s Pop Hits Playlist
17,TZUnjISv_J4,DCG Shun x DCG Bsavv - On The Ground (feat. 2Rare) [Official Music Video],473198,6067,204,Late 90s Early 2000s Pop Hits Playlist
18,9c6_PrUcDAM,Paul Damixie - I'm Done | Official Visualizer,2766707,3689,29,Late 90s Early 2000s Pop Hits Playlist
19,OT5msu-dap8,Backstreet Boys - Shape Of My Heart (Official HD Video),338411073,1050720,43888,Late 90s Early 2000s Pop Hits Playlist
20,1TO48Cnl66w,Dido - Thank You (Official Video),349578545,2809454,67136,Late 90s Early 2000s Pop Hits Playlist
21,24u3NoPvgMw,Conan Gray - Heather,158930372,3311801,86207,Late 90s Early 2000s Pop Hits Playlist
22,RQa7SvVCdZk,"Christina Aguilera, Lil' Kim, Mya, P!nk - Lady Marmalade",535233901,2638349,78025,Late 90s Early 2000s Pop Hits Playlist
23,luwAMFcc2f8,Robbie Williams - Angels,237060649,1150452,26951,Late 90s Early 2000s Pop Hits Playlist
24,HUJ65XHS-Lw,Paul Damixie - Drip (Official Music Video),6293765,11323,102,Late 90s Early 2000s Pop Hits Playlist
25,sQgd6MccwZc,Destiny's Child - Say My Name (Official Video),373795163,1840524,45155,Late 90s Early 2000s Pop Hits Playlist
26,XS088Opj9o0,Madonna - Frozen (Official Video) [HD],208702112,1422739,66034,Late 90s Early 2000s Pop Hits Playlist
27,KRzMtlZjXpU,The Black Eyed Peas - Shut Up,336998908,1348689,28277,Late 90s Early 2000s Pop Hits Playlist
28,koJlIGDImiU,Enrique Iglesias - Hero,517727092,2147432,91540,Late 90s Early 2000s Pop Hits Playlist
29,t0bPrt69rag,Britney Spears - Sometimes (Official HD Video),310268293,1104158,65694,Late 90s Early 2000s Pop Hits Playlist
30,v895UsLmfnI,Paul Damixie - Secrets | Official Music Video,11149986,15895,126,Late 90s Early 2000s Pop Hits Playlist
31,CduA0TULnow,Britney Spears - Oops!...I Did It Again (Official HD Video),435093066,2764062,106948,Late 90s Early 2000s Pop Hits Playlist
32,6thmPrTxBtI,*NSYNC - This I Promise You (Official Video),289001666,984232,47018,Late 90s Early 2000s Pop Hits Playlist
