,video_id,title,views,likes,comments,publishedAt,playlist_name
0,4fndeDfaWCg,Backstreet Boys - I Want It That Way (Official HD Video),1337433460,7238334,279082,2009-10-25T07:07:57Z,Late 90s Early 2000s Pop Hits Playlist
1,ZyhrYis509A,Aqua - Barbie Girl (Official Music Video),1400435361,8435298,416410,2010-08-20T16:35:21Z,Late 90s Early 2000s Pop Hits Playlist
2,nZXRV4MezEw,Cher - Believe (Official Music Video) [4K Remaster],347978566,2018017,52777,2018-10-19T17:00:08Z,Late 90s Early 2000s Pop Hits Playlist
3,YPwtJ89jes4,Kylie Minogue - Can't Get You Out Of My Head (HD),21399899,220310,8063,2015-01-23T10:17:50Z,Late 90s Early 2000s Pop Hits Playlist
4,NdYWuo9OFAw,Goo Goo Dolls – Iris [Official Music Video] [4K Remaster],492516864,2950940,69717,2010-02-26T18:28:09Z,Late 90s Early 2000s Pop Hits Playlist
5,Lzib4Q6x2XA,Definition Of | 559 | 432Hz,337120,503,30,2023-08-17T21:04:09Z,Late 90s Early 2000s Pop Hits Playlist
6,mzJj5-lubeM,Red Hot Chili Peppers - Scar Tissue [Official Music Video],494090043,2108408,38410,2011-07-15T22:26:46Z,Late 90s Early 2000s Pop Hits Playlist
7,C-u5WLJ9Yk4,Britney Spears - ...Baby One More Time (Official Video),894726946,5112138,186292,2009-10-25T07:08:26Z,Late 90s Early 2000s Pop Hits Playlist
8,0Gl2QnHNpkA,Backstreet Boys - As Long As You Love Me (Official HD Video),516377430,2288128,66748,2011-05-25T15:47:30Z,Late 90s Early 2000s Pop Hits Playlist
9,5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video),651096862,4397215,150902,2010-02-25T00:29:17Z,Late 90s Early 2000s Pop Hits Playlist
10,9bFHsd3o1w0,Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),13807775,198105,7362,2023-03-23T07:00:03Z,Late 90s Early 2000s Pop Hits Playlist
11,z-iS0bCdIj8,Lovers In Action | Sonic Resistance | 432Hz,14938,106,26,2023-12-15T04:19:52Z,Late 90s Early 2000s Pop Hits Playlist
12,7wfYIMyS_dI,Enya - Only Time (Official 4K Music Video),257408249,2255272,99766,2009-10-26T06:06:39Z,Late 90s Early 2000s Pop Hits Playlist
